Date/Time,Word Count,en,es
2020.04.06-02.04.13,0,0,0
2020.04.06-02.17.23,294,294,0
2020.05.02-00.30.42,329,329,294
2020.05.02-00.35.02,329,329,329
2020.05.02-01.29.04,346,346,329
2020.05.02-01.34.16,346,346,346
2020.05.02-03.08.26,352,352,342
2020.05.02-03.09.45,352,352,352
2020.05.02-23.37.04,356,356,352
2020.05.02-23.37.56,356,356,356
2020.05.02-23.50.20,381,381,356
2020.05.02-23.52.54,377,377,364
2020.05.02-23.53.55,377,377,377
2020.05.03-01.54.31,754,754,365
2020.05.03-02.01.17,754,754,432
2020.05.03-02.28.13,754,754,749
2020.05.03-02.29.31,754,754,754
2020.05.03-13.23.14,758,758,754
2020.05.15-01.25.17,905,905,754
2020.05.15-01.38.06,900,900,754
2020.05.15-02.14.09,893,893,754
2020.05.15-02.18.54,894,894,754
2020.05.15-02.23.16,893,893,754
2020.05.15-02.34.05,893,893,859
2020.05.15-02.35.53,892,892,892
2020.05.27-17.58.31,971,971,890
2020.06.07-19.35.44,1033,1033,891
2020.06.07-19.37.45,1029,1029,891
2020.06.07-19.50.24,1027,1027,891
2020.06.07-19.54.07,1025,1025,891
2020.06.07-19.56.04,1025,1025,893
2020.06.07-20.03.55,1023,1023,894
2020.06.07-20.07.14,1021,1021,894
2020.06.07-20.15.00,1021,1021,966
2020.06.07-20.31.48,1020,1020,965
2020.06.07-21.00.17,1044,1044,964
2020.06.07-21.12.28,1035,1035,964
2020.06.07-21.16.19,1032,1032,964
2020.06.07-21.19.38,1032,1032,996
2020.06.07-21.48.25,1059,1059,996
2020.06.07-21.54.54,1059,1059,1042
2020.06.07-21.58.19,1059,1059,1059
2020.06.09-13.09.07,1061,1061,1059
2020.06.09-13.10.38,1061,1061,1061
